user_id,file_id,rating,proportion_top10,proportion_top100,proportion_top1000,proportion_over1000,mean_rank,median_rank,rank_entropy,n_pred_tokens,pred_rating
48,0,4.0,0.7681,0.1159,0.058,0.058,186.8,1.0,1.1291,69,3.75
49,0,4.0,0.7602,0.1324,0.0761,0.0312,146.64,1.0,1.126,1760,4.09
50,0,4.0,0.8261,0.0794,0.0643,0.0302,100.24,1.0,0.9248,995,4.2
51,0,3.0,0.8108,0.1037,0.0744,0.0111,57.47,1.0,0.9354,1263,3.27
52,0,1.0,0.8132,0.0895,0.0769,0.0204,78.51,1.0,0.9534,637,2.44
53,0,5.0,0.8286,0.093,0.0648,0.0136,51.39,1.0,0.8834,957,4.64
54,0,5.0,0.7209,0.1766,0.0922,0.0103,64.82,2.0,1.1672,2429,4.29
55,0,5.0,0.6901,0.1485,0.1253,0.0362,180.92,2.0,1.3265,2323,4.52
56,0,5.0,0.8385,0.0845,0.0631,0.0139,75.79,1.0,0.8516,935,4.05
57,0,4.0,0.8036,0.1124,0.0711,0.0129,55.04,1.0,0.9603,1237,3.36
58,0,3.0,0.8157,0.1227,0.0533,0.0083,34.59,1.0,0.8942,1557,2.94
59,0,4.0,0.67,0.1782,0.119,0.0328,140.73,3.0,1.3576,3873,4.4
60,0,4.0,0.8111,0.0923,0.0726,0.024,147.78,1.0,0.9659,1419,3.98
61,0,5.0,0.7255,0.1176,0.1176,0.0392,130.84,1.0,1.2456,51,4.79
62,0,2.0,0.8703,0.0792,0.0436,0.0069,26.67,1.0,0.7109,871,2.44
68,0,5.0,0.7208,0.1403,0.1049,0.034,177.23,1.0,1.2449,2031,4.67
69,0,4.0,0.8131,0.1092,0.0657,0.012,57.56,1.0,0.9262,1081,3.8
70,0,4.0,0.7651,0.1229,0.0814,0.0305,155.82,1.0,1.1157,2554,4.09
71,0,4.0,0.866,0.0731,0.0528,0.0081,50.95,1.0,0.7361,985,3.41
72,0,4.0,0.7799,0.1233,0.0815,0.0153,66.48,1.0,1.039,1436,3.86
73,0,5.0,0.8381,0.0785,0.0618,0.0216,88.22,1.0,0.8695,1019,4.42
74,0,4.0,0.6958,0.1454,0.1202,0.0385,191.21,1.5,1.3171,2620,4.15
75,0,5.0,0.6558,0.1915,0.1104,0.0423,197.95,3.0,1.3999,2481,4.63
76,0,2.0,0.7472,0.1385,0.0935,0.0208,101.06,1.0,1.145,2065,2.89
77,0,3.0,0.7044,0.1491,0.1087,0.0378,158.01,1.0,1.292,1959,4.58
78,0,4.0,0.8056,0.1195,0.0598,0.0151,66.57,1.0,0.9517,1924,3.01
79,0,4.0,0.6842,0.0526,0.1053,0.1579,811.74,1.0,1.3605,19,3.63
0,1,5.0,0.8131,0.0906,0.0657,0.0306,119.06,1.0,0.9684,883,4.62
1,1,5.0,0.8153,0.0908,0.0643,0.0296,116.46,1.0,0.9593,980,4.18
2,1,4.0,0.8702,0.0726,0.044,0.0132,46.54,1.0,0.73,909,3.16
3,1,5.0,0.701,0.1511,0.1156,0.0323,138.25,2.0,1.2911,4799,4.81
4,1,5.0,0.7808,0.1083,0.0853,0.0257,94.13,1.0,1.0646,739,4.34
5,1,4.0,0.7988,0.1141,0.0712,0.016,102.14,1.0,0.9828,815,3.51
6,1,4.0,0.8414,0.1094,0.039,0.0102,34.19,1.0,0.8088,1179,3.7
7,1,4.0,0.854,0.0847,0.0461,0.0151,66.9,1.0,0.7923,1192,4.12
8,1,2.0,0.7951,0.1301,0.0564,0.0184,67.2,1.0,0.9859,976,1.85
9,1,4.0,0.7074,0.1428,0.114,0.0358,166.29,1.0,1.2835,2122,4.61
10,1,4.0,0.8149,0.1036,0.0664,0.0151,72.01,1.0,0.9307,859,3.93
11,1,4.0,0.8381,0.0924,0.057,0.0125,42.5,1.0,0.8458,877,3.7
12,1,5.0,0.6432,0.1823,0.1327,0.0417,167.45,3.0,1.4352,2923,4.86
13,1,2.0,0.6909,0.1091,0.1455,0.0545,211.31,1.0,1.3507,55,3.26
14,1,5.0,0.7695,0.1106,0.1019,0.018,78.4,1.0,1.0823,1501,4.3
15,1,2.0,0.8492,0.0832,0.0559,0.0117,41.73,1.0,0.8066,769,3.65
16,1,4.0,0.7335,0.1715,0.0797,0.0153,66.89,2.0,1.1473,1895,3.86
17,1,4.0,0.8196,0.1008,0.0531,0.0265,96.46,1.0,0.9325,377,3.29
18,1,3.0,0.7856,0.0961,0.085,0.0333,102.09,1.0,1.064,541,4.22
19,1,5.0,0.7359,0.1294,0.1035,0.0312,118.81,1.0,1.2021,1700,4.58
20,1,5.0,0.8007,0.0972,0.0804,0.0216,107.83,1.0,0.9957,833,4.4
21,1,4.0,0.6957,0.1304,0.087,0.087,173.65,2.0,1.3603,23,4.07
22,1,4.0,0.7815,0.1126,0.0796,0.0262,141.07,1.0,1.0612,1181,3.79
23,1,3.0,0.8203,0.1041,0.063,0.0126,50.97,1.0,0.9049,1191,2.85
24,1,1.0,0.8384,0.0808,0.0505,0.0303,63.91,1.0,0.8769,99,1.98
25,1,4.0,0.7463,0.1194,0.0597,0.0746,232.04,1.0,1.2034,67,3.84
26,1,4.0,0.6649,0.1721,0.1123,0.0507,193.84,3.0,1.4009,552,4.01
27,1,2.0,0.8612,0.0781,0.0421,0.0186,80.44,1.0,0.7722,807,2.53
28,1,4.0,0.812,0.105,0.0716,0.0114,55.29,1.0,0.9312,1229,3.69
29,1,4.0,0.702,0.1589,0.1019,0.0372,235.77,2.0,1.2924,1963,4.54
30,1,3.0,0.7513,0.1618,0.0671,0.0198,83.1,2.0,1.1087,3590,3.17
31,1,5.0,0.7874,0.1282,0.0701,0.0143,66.78,1.0,1.0079,1256,4.03
32,1,4.0,0.7517,0.1217,0.0962,0.0304,124.34,1.0,1.1575,1611,4.29
33,1,5.0,0.715,0.1532,0.0993,0.0324,152.03,2.0,1.2519,2839,4.86
34,1,4.0,0.8321,0.0971,0.056,0.0148,54.57,1.0,0.8701,947,3.84
35,1,2.0,0.8419,0.0825,0.0584,0.0172,58.95,1.0,0.846,873,3.87
36,1,4.0,0.7097,0.0645,0.1613,0.0645,265.06,1.0,1.2859,31,3.72
37,1,2.0,0.8288,0.0991,0.0631,0.009,60.41,1.0,0.8676,111,2.43
38,1,4.0,0.8135,0.1004,0.066,0.0201,113.07,1.0,0.9473,697,3.71
39,1,3.0,0.8167,0.0958,0.0752,0.0123,73.08,1.0,0.9216,731,3.59
40,1,2.0,0.7774,0.1228,0.0865,0.0133,83.46,1.0,1.0424,1954,2.52
41,1,5.0,0.6923,0.1795,0.1282,0.0,49.41,2.0,1.192,39,3.55
42,1,4.0,0.7089,0.1786,0.0901,0.0224,113.98,2.0,1.2313,1965,3.89
43,1,5.0,0.6316,0.2632,0.0526,0.0526,182.84,1.0,1.3727,19,3.5
44,1,4.0,0.7288,0.1525,0.0339,0.0847,191.78,1.0,1.2137,59,3.95
45,1,4.0,0.7728,0.1313,0.0762,0.0198,90.72,1.0,1.0668,1417,3.83
46,1,5.0,0.8288,0.0964,0.0599,0.015,60.27,1.0,0.8837,1069,4.59
47,1,4.0,0.7032,0.1785,0.0942,0.0241,105.93,2.0,1.2516,2527,4.08
48,1,3.0,0.8459,0.0945,0.054,0.0056,40.68,1.0,0.7953,889,2.92
49,1,4.0,0.7248,0.1382,0.0899,0.0471,198.2,1.0,1.2512,1657,4.38
50,1,4.0,0.825,0.0976,0.0588,0.0187,72.12,1.0,0.9042,697,3.83
51,1,4.0,0.5294,0.2353,0.1765,0.0588,275.82,8.0,1.659,17,4.18
52,1,2.0,0.8026,0.1086,0.0623,0.0265,94.19,1.0,0.9905,755,2.71
53,1,5.0,0.8515,0.0736,0.0631,0.0118,43.76,1.0,0.8017,761,4.45
54,1,5.0,0.7383,0.1552,0.0883,0.0181,96.56,2.0,1.1543,2377,4.43
55,1,5.0,0.6387,0.1837,0.1345,0.043,197.49,3.0,1.4468,4207,4.86
56,1,5.0,0.8642,0.0752,0.047,0.0136,59.72,1.0,0.7545,957,3.9
57,1,2.0,0.8069,0.0883,0.081,0.0239,78.43,1.0,0.9813,963,2.65
58,1,2.0,0.7639,0.1552,0.0714,0.0095,53.86,1.0,1.0497,2101,2.5
59,1,5.0,0.7984,0.1036,0.068,0.03,106.45,1.0,1.0137,1235,4.49
60,1,4.0,0.6597,0.1725,0.1294,0.0385,153.0,3.0,1.3957,858,4.03
61,1,5.0,0.7561,0.0976,0.0976,0.0488,121.78,1.0,1.1727,41,4.63
62,1,2.0,0.8666,0.0796,0.0465,0.0073,34.64,1.0,0.7275,817,2.53
63,1,5.0,0.7109,0.1541,0.1049,0.0301,136.29,2.0,1.2591,4881,4.82
64,1,5.0,0.7211,0.1373,0.1045,0.0371,212.08,1.0,1.2501,1187,4.6
65,1,4.0,0.8257,0.1052,0.0584,0.0106,64.22,1.0,0.879,941,3.59
66,1,4.0,0.82,0.1012,0.0682,0.0106,50.06,1.0,0.903,939,3.78
67,1,2.0,0.8384,0.0866,0.0665,0.0084,42.68,1.0,0.8371,947,2.62
68,1,4.0,0.7389,0.1373,0.0921,0.0317,193.09,1.0,1.1907,1260,4.05
69,1,5.0,0.7748,0.0971,0.0881,0.04,167.66,1.0,1.1065,999,4.59
70,1,5.0,0.8006,0.0976,0.0725,0.0293,140.38,1.0,1.0083,717,4.24
71,1,3.0,0.8954,0.0509,0.0418,0.0118,51.09,1.0,0.6285,1865,3.27
72,1,5.0,0.7561,0.1341,0.0366,0.0732,314.22,1.0,1.1444,82,4.22
73,1,4.0,0.7726,0.1238,0.0813,0.0222,99.89,1.0,1.077,1623,3.7
74,1,2.0,0.8035,0.114,0.0668,0.0157,67.78,1.0,0.9658,1272,2.81
75,1,4.0,0.7447,0.0851,0.1064,0.0638,341.72,1.0,1.2165,47,4.08
0,2,5.0,0.805,0.0885,0.0761,0.0304,164.89,1.0,0.9976,723,4.53
1,2,4.0,0.7736,0.112,0.0793,0.0351,117.75,1.0,1.0997,1312,4.15
2,2,4.0,0.655,0.1946,0.117,0.0334,151.34,3.0,1.3854,3171,4.31
3,2,5.0,0.7333,0.1111,0.1111,0.0444,176.31,1.0,1.2322,45,4.64
4,2,5.0,0.8242,0.0893,0.0672,0.0192,84.47,1.0,0.9126,1041,4.62
5,2,3.0,0.8037,0.0947,0.085,0.0167,73.13,1.0,0.976,1141,3.18
6,2,4.0,0.8458,0.0893,0.0487,0.0162,53.68,1.0,0.8243,1109,3.74
7,2,4.0,0.8216,0.097,0.0701,0.0113,57.12,1.0,0.901,1155,3.9
8,2,1.0,0.7951,0.1301,0.0564,0.0184,67.2,1.0,0.9859,976,1.85
9,2,3.0,0.7699,0.1465,0.0669,0.0167,91.12,1.0,1.056,2273,2.97
10,2,4.0,0.7868,0.1066,0.088,0.0186,70.44,1.0,1.032,591,3.83
11,2,3.0,0.8308,0.1005,0.057,0.0118,70.13,1.0,0.8663,1105,3.37
12,2,5.0,0.6697,0.1794,0.1157,0.0352,152.28,2.0,1.3619,2731,4.39
13,2,4.0,0.6889,0.1111,0.1111,0.0889,378.51,1.0,1.3852,45,4.08
14,2,5.0,0.82,0.0999,0.0654,0.0148,59.25,1.0,0.9139,811,4.56
15,2,3.0,0.8312,0.0787,0.0753,0.0148,65.33,1.0,0.8812,877,3.55
16,2,4.0,0.8395,0.0797,0.0682,0.0126,53.47,1.0,0.8466,953,3.94
17,2,4.0,0.8383,0.0835,0.0678,0.0104,47.67,1.0,0.8444,575,3.82
18,2,3.0,0.7967,0.1091,0.0721,0.0222,72.1,1.0,1.0053,541,3.25
19,2,5.0,0.7151,0.1549,0.0933,0.0367,191.35,1.0,1.2571,1769,4.68
20,2,4.0,0.8001,0.1094,0.0741,0.0163,67.14,1.0,0.9818,1471,3.85
21,2,4.0,0.6957,0.1304,0.087,0.087,173.65,2.0,1.3603,23,4.07
22,2,4.0,0.7907,0.1021,0.0793,0.0278,103.45,1.0,1.0379,1185,4.14
23,2,2.0,0.8203,0.1041,0.063,0.0126,50.97,1.0,0.9049,1191,2.85
24,2,2.0,0.8347,0.0975,0.0548,0.013,45.71,1.0,0.856,1077,2.32
25,2,3.0,0.7761,0.0746,0.1045,0.0448,116.16,1.0,1.1043,67,3.56
26,2,5.0,0.6698,0.1604,0.1343,0.0354,146.73,3.0,1.3707,536,4.19
27,2,2.0,0.8583,0.0742,0.0513,0.0162,55.9,1.0,0.7838,741,2.33
28,2,4.0,0.6856,0.1577,0.111,0.0456,196.35,1.0,1.3488,1775,4.15
29,2,5.0,0.7368,0.135,0.0905,0.0377,140.47,1.0,1.2067,1193,4.63
30,2,4.0,0.8192,0.0997,0.0596,0.0215,76.92,1.0,0.9291,1023,3.89
31,2,4.0,0.8037,0.1014,0.0774,0.0174,66.61,1.0,0.9759,917,3.57
32,2,4.0,0.8278,0.0724,0.0744,0.0254,120.6,1.0,0.9135,511,4.03
33,2,5.0,0.715,0.1532,0.0993,0.0324,152.03,2.0,1.2519,2839,4.86
34,2,4.0,0.8321,0.0856,0.0549,0.0274,118.99,1.0,0.8965,911,3.58
35,2,2.0,0.8094,0.1156,0.0618,0.0132,61.6,1.0,0.9376,1133,2.59
36,2,4.0,0.6,0.2667,0.1333,0.0,79.13,2.0,1.3383,15,3.57
37,2,1.0,0.7938,0.134,0.0309,0.0412,110.68,1.0,0.9978,97,1.98
38,2,4.0,0.8163,0.1208,0.0557,0.0072,65.48,1.0,0.8907,1383,3.42
39,2,3.0,0.8438,0.09,0.0538,0.0124,47.94,1.0,0.8248,1133,2.84
40,2,2.0,0.7876,0.109,0.077,0.0264,168.32,1.0,1.0429,1441,3.14
41,2,5.0,0.6842,0.1053,0.1053,0.1053,185.47,2.0,1.4003,19,4.12
42,2,4.0,0.7793,0.1302,0.073,0.0175,77.1,1.0,1.041,1713,3.36
43,2,5.0,0.5882,0.1765,0.1176,0.1176,371.18,1.0,1.6184,17,4.52
44,2,4.0,0.746,0.1429,0.0476,0.0635,165.57,1.0,1.1781,63,4.0
45,2,4.0,0.7937,0.0921,0.0887,0.0256,137.34,1.0,1.0266,1173,4.07
46,2,5.0,0.7939,0.1235,0.0614,0.0212,94.42,1.0,1.0019,1417,4.15
47,2,4.0,0.7285,0.1648,0.0873,0.0194,96.63,2.0,1.179,2221,4.03
48,2,2.0,0.8437,0.095,0.0549,0.0063,40.71,1.0,0.8057,947,2.39
49,2,3.0,0.7773,0.1014,0.0698,0.0514,254.87,1.0,1.1056,759,3.56
50,2,5.0,0.777,0.1086,0.0815,0.0329,131.15,1.0,1.0877,1215,4.68
51,2,4.0,0.6667,0.1429,0.0952,0.0952,490.1,1.0,1.4372,21,4.01
52,2,1.0,0.8171,0.1021,0.0594,0.0214,87.06,1.0,0.9348,1077,2.61
53,2,5.0,0.8474,0.0757,0.0672,0.0098,42.65,1.0,0.8112,819,4.88
54,2,4.0,0.7234,0.1649,0.0917,0.0199,116.25,2.0,1.1954,2607,4.12
55,2,5.0,0.6538,0.1691,0.1278,0.0493,227.29,2.0,1.4277,3348,4.86
56,2,4.0,0.8166,0.0977,0.0694,0.0163,67.63,1.0,0.9303,1167,4.01
57,2,4.0,0.816,0.1017,0.0647,0.0175,78.69,1.0,0.9325,973,4.02
58,2,3.0,0.7464,0.16,0.0825,0.0111,61.46,2.0,1.107,1987,2.97
59,2,4.0,0.8045,0.101,0.0655,0.029,106.19,1.0,0.9922,931,4.04
60,2,2.0,0.836,0.1037,0.0523,0.008,44.93,1.0,0.8334,1128,2.45
61,2,5.0,0.6385,0.1804,0.1365,0.0445,201.86,3.0,1.451,1707,4.74
62,2,4.0,0.8387,0.1063,0.0435,0.0115,34.59,1.0,0.8276,781,3.5
63,2,5.0,0.8526,0.0807,0.0512,0.0156,55.42,1.0,0.8023,1153,4.12
64,2,3.0,0.6614,0.1739,0.1176,0.0471,330.33,2.0,1.404,765,3.56
65,2,4.0,0.8476,0.0916,0.0482,0.0125,38.36,1.0,0.8082,1037,3.88
66,2,4.0,0.8408,0.0999,0.0461,0.0132,53.14,1.0,0.8292,911,3.73
67,2,4.0,0.8289,0.0925,0.0608,0.0177,60.56,1.0,0.8911,789,3.95
68,2,4.0,0.7998,0.112,0.0626,0.0256,97.99,1.0,0.997,1134,3.72
69,2,4.0,0.81,0.0957,0.0708,0.0236,90.52,1.0,0.9681,763,3.84
70,2,4.0,0.8077,0.1032,0.0676,0.0215,89.3,1.0,0.9688,1347,4.02
71,2,5.0,0.7639,0.1207,0.0934,0.022,90.67,1.0,1.1058,1317,4.25
72,2,5.0,0.6224,0.1976,0.1298,0.0501,253.78,3.0,1.4869,2373,4.67
73,2,4.0,0.6196,0.1943,0.1381,0.048,238.14,4.0,1.492,3809,4.42
74,2,3.0,0.7646,0.1279,0.087,0.0205,96.94,1.0,1.0968,1759,3.29
75,2,4.0,0.8076,0.0909,0.0782,0.0233,91.21,1.0,0.9772,473,3.78
0,3,5.0,0.7861,0.104,0.0751,0.0347,145.92,1.0,1.0614,865,4.48
1,3,4.0,0.7964,0.1009,0.0777,0.025,102.77,1.0,1.015,1159,4.05
2,3,4.0,0.8309,0.094,0.0574,0.0178,72.23,1.0,0.8827,1011,4.08
3,3,5.0,0.7065,0.1725,0.096,0.025,112.59,2.0,1.2491,3959,4.43
4,3,5.0,0.8292,0.0789,0.0729,0.0191,73.58,1.0,0.8976,837,4.58
5,3,4.0,0.8176,0.0879,0.0748,0.0196,81.03,1.0,0.9373,1069,3.68
6,3,4.0,0.8351,0.099,0.0547,0.0113,50.78,1.0,0.8497,1061,2.83
7,3,4.0,0.8208,0.0996,0.0615,0.0182,65.7,1.0,0.9177,1155,4.16
8,3,3.0,0.7762,0.1243,0.0816,0.018,109.54,1.0,1.0567,1336,2.95
9,3,3.0,0.6772,0.1568,0.1253,0.0407,165.93,1.0,1.3635,2506,3.78
10,3,3.0,0.7966,0.101,0.0825,0.0199,78.51,1.0,1.0049,703,3.53
11,3,4.0,0.8245,0.1017,0.0594,0.0144,90.61,1.0,0.895,1111,3.94
12,3,5.0,0.7907,0.093,0.0698,0.0465,157.81,1.0,1.0605,43,4.06
13,3,2.0,0.619,0.0952,0.1429,0.1429,485.76,2.0,1.5535,21,3.1
14,3,5.0,0.8176,0.1013,0.0626,0.0185,79.86,1.0,0.9288,1135,4.38
15,3,4.0,0.8239,0.0932,0.0702,0.0127,56.17,1.0,0.8981,869,4.0
16,3,4.0,0.8109,0.1065,0.0639,0.0186,64.49,1.0,0.95,751,3.75
17,3,5.0,0.7021,0.0851,0.0851,0.1277,729.53,2.0,1.3424,47,4.36
18,3,4.0,0.7779,0.1342,0.0691,0.0188,89.65,1.0,1.045,1490,3.9
19,3,5.0,0.7087,0.1474,0.1074,0.0365,166.45,1.0,1.2791,1974,4.77
20,3,4.0,0.8602,0.0703,0.0525,0.017,90.02,1.0,0.7792,1295,3.42
21,3,4.0,0.6957,0.1304,0.087,0.087,173.65,2.0,1.3603,23,4.07
22,3,4.0,0.7988,0.0956,0.0855,0.0201,113.05,1.0,0.9993,1193,3.87
23,3,3.0,0.8203,0.1041,0.063,0.0126,50.97,1.0,0.9049,1191,2.85
24,3,3.0,0.8492,0.0772,0.0579,0.0157,72.85,1.0,0.8175,829,3.41
25,3,4.0,0.8264,0.0778,0.08,0.0158,73.05,1.0,0.9,887,3.87
26,3,4.0,0.6918,0.1765,0.0918,0.04,240.55,2.0,1.3114,425,4.03
27,3,2.0,0.8194,0.0884,0.066,0.0262,93.77,1.0,0.9411,803,2.83
28,3,3.0,0.731,0.1365,0.0944,0.0381,216.42,1.0,1.2238,1260,3.65
29,3,3.0,0.794,0.1008,0.0864,0.0188,77.57,1.0,1.0109,903,3.42
30,3,4.0,0.8379,0.0836,0.0622,0.0163,74.59,1.0,0.8591,981,4.05
31,3,5.0,0.7753,0.1051,0.0862,0.0333,148.75,1.0,1.0946,1322,4.74
32,3,4.0,0.8358,0.0811,0.0714,0.0117,52.78,1.0,0.8573,1023,3.88
33,3,5.0,0.6976,0.1665,0.1031,0.0328,156.36,2.0,1.2927,3201,4.91
34,3,4.0,0.8309,0.0908,0.059,0.0193,65.37,1.0,0.8872,881,4.0
35,3,1.0,0.8436,0.0898,0.0545,0.0121,46.26,1.0,0.8251,991,2.2
36,3,4.0,0.5385,0.1538,0.2308,0.0769,195.62,3.0,1.6692,13,4.17
37,3,1.0,0.7982,0.1009,0.055,0.0459,149.02,1.0,1.0277,109,2.31
38,3,4.0,0.784,0.1136,0.087,0.0154,87.56,1.0,1.031,713,3.59
39,3,2.0,0.804,0.0933,0.0871,0.0156,71.97,1.0,0.9724,643,2.71
40,3,1.0,0.6364,0.1212,0.0606,0.1818,623.39,5.0,1.4763,33,2.49
41,3,4.0,0.7576,0.1515,0.0303,0.0606,167.21,1.0,1.1139,33,3.55
42,3,3.0,0.684,0.1736,0.1146,0.0278,98.28,2.5,1.3151,576,3.46
43,3,5.0,0.6471,0.1176,0.1176,0.1176,276.65,1.0,1.4961,17,4.86
44,3,4.0,0.7471,0.1494,0.0575,0.046,123.13,1.0,1.1651,87,3.86
45,3,4.0,0.8117,0.093,0.0703,0.025,115.78,1.0,0.9654,839,4.0
46,3,5.0,0.8262,0.0869,0.067,0.0199,77.54,1.0,0.9076,955,4.65
47,3,5.0,0.7481,0.1447,0.0876,0.0196,119.96,1.0,1.1355,2557,4.17
48,3,4.0,0.8155,0.1088,0.058,0.0176,69.84,1.0,0.9291,965,3.67
49,3,2.0,0.7698,0.1137,0.0937,0.0227,114.52,1.0,1.0915,1099,2.96
50,3,4.0,0.8713,0.076,0.0409,0.0117,53.77,1.0,0.7195,855,3.31
51,3,5.0,0.5385,0.2308,0.1538,0.0769,285.92,7.0,1.6692,13,4.41
52,3,2.0,0.8583,0.0745,0.0525,0.0147,54.06,1.0,0.7808,953,2.86
53,3,5.0,0.8474,0.0757,0.0672,0.0098,42.65,1.0,0.8112,819,4.88
54,3,4.0,0.7404,0.1566,0.082,0.021,110.13,2.0,1.1528,2477,3.96
55,3,5.0,0.628,0.1787,0.1371,0.0563,278.43,3.0,1.492,3626,4.86
56,3,4.0,0.7514,0.1598,0.0741,0.0147,78.25,1.0,1.1003,1633,2.84
57,3,4.0,0.8551,0.0814,0.0535,0.01,38.22,1.0,0.7803,897,3.71
58,3,2.0,0.8096,0.1294,0.0551,0.006,34.94,1.0,0.903,1507,2.32
59,3,3.0,0.8385,0.0933,0.0593,0.0089,42.74,1.0,0.8345,675,2.83
60,3,4.0,0.6789,0.1695,0.1093,0.0424,198.19,2.0,1.3557,2242,4.3
61,3,5.0,0.7349,0.128,0.0977,0.0394,199.34,1.0,1.218,1750,4.19
62,3,2.0,0.8803,0.073,0.0376,0.0091,55.87,1.0,0.6774,877,2.63
63,3,5.0,0.6838,0.1601,0.1255,0.0306,143.81,2.0,1.3277,4023,4.79
64,3,5.0,0.7223,0.1299,0.0973,0.0505,249.74,1.0,1.2659,1347,4.37
65,3,4.0,0.7264,0.1454,0.0969,0.0313,162.53,1.0,1.2222,1630,4.07
66,3,4.0,0.6571,0.2143,0.1143,0.0143,91.81,1.0,1.3195,70,3.77
67,3,5.0,0.7894,0.1064,0.0778,0.0264,132.38,1.0,1.0382,1363,4.36
