user_id,file_id,rating,nli_mean_entail,nli_mean_contra,nli_max_contra,nli_frac_entail_gt50,nli_frac_contra_gt50,nli_pairs_evaluated,nli_r_to_q_entail,nli_q_to_r_entail,nli_r_to_q_contra,nli_q_to_r_contra,n_sentences_resp,pred_rating
43,0,4.0,0.0136,0.001,0.001,0.0,0.0,2.0,0.8863,0.7828,0.0161,0.042,2.0,4.14
44,0,4.0,0.8913,0.0831,0.1652,1.0,0.0,6.0,0.0277,0.0082,0.0062,0.0024,4.0,3.8
45,0,3.0,0.8164,0.1685,0.3348,1.0,0.0,6.0,0.0161,0.0077,0.0024,0.0015,4.0,3.73
46,0,5.0,0.2754,0.7096,0.9983,0.2778,0.7222,18.0,0.2376,0.7072,0.0134,0.0029,10.0,3.68
47,0,4.0,0.8518,0.0717,0.566,0.9444,0.0556,18.0,0.2528,0.0284,0.0236,0.0057,10.0,3.81
48,0,4.0,0.9675,0.0294,0.0538,1.0,0.0,6.0,0.1972,0.3769,0.244,0.3433,4.0,3.26
49,0,4.0,0.6408,0.325,0.9941,0.6667,0.3333,18.0,0.9364,0.2635,0.0483,0.1978,10.0,3.86
50,0,4.0,0.2942,0.6461,0.916,0.1667,0.8333,18.0,0.0722,0.0832,0.9116,0.0951,10.0,3.85
51,0,3.0,0.2897,0.6448,0.9991,0.2778,0.6667,18.0,0.4871,0.805,0.4894,0.0309,10.0,3.63
52,0,1.0,0.5818,0.3827,0.9356,0.6111,0.3333,18.0,0.6501,0.3245,0.1911,0.5742,10.0,1.94
53,0,5.0,0.6458,0.3128,0.9981,0.6667,0.3333,18.0,0.6649,0.8997,0.0047,0.0066,10.0,4.25
54,0,5.0,0.8322,0.1373,0.8345,0.8889,0.1111,18.0,0.0736,0.6477,0.0554,0.0077,10.0,4.45
55,0,5.0,0.7026,0.2676,0.9909,0.7222,0.2778,18.0,0.5035,0.5947,0.0299,0.0425,10.0,3.4
56,0,5.0,0.7739,0.198,0.9065,0.8333,0.1667,18.0,0.18,0.7739,0.0205,0.0105,10.0,3.78
57,0,4.0,0.2538,0.7281,0.9991,0.2778,0.7222,18.0,0.0718,0.1219,0.1841,0.181,10.0,3.7
58,0,3.0,0.4567,0.5287,0.999,0.4444,0.5556,18.0,0.9878,0.9878,0.0046,0.0046,10.0,3.32
59,0,4.0,0.411,0.4428,0.9982,0.4444,0.4444,18.0,0.3009,0.3037,0.0309,0.1735,10.0,3.97
60,0,4.0,0.1248,0.8685,0.9953,0.0556,0.9444,18.0,0.9258,0.4309,0.0212,0.1784,10.0,4.04
61,0,5.0,0.0465,0.0298,0.0298,0.0,0.0,2.0,0.8851,0.6125,0.0141,0.0342,2.0,4.56
62,0,2.0,0.528,0.412,0.959,0.5556,0.4444,18.0,0.8317,0.5833,0.1218,0.2183,10.0,2.86
68,0,5.0,0.4878,0.3928,0.9352,0.5,0.4444,18.0,0.0473,0.5688,0.9302,0.0455,10.0,4.08
69,0,4.0,0.1317,0.8661,0.9989,0.1111,0.8889,18.0,0.7372,0.486,0.0863,0.3701,10.0,3.62
70,0,4.0,0.4867,0.4938,0.9977,0.5,0.5,18.0,0.6504,0.6756,0.0746,0.0198,10.0,4.17
71,0,4.0,0.6467,0.305,0.845,0.6111,0.3333,18.0,0.1118,0.2773,0.012,0.0124,10.0,3.72
72,0,4.0,0.3541,0.6074,0.9976,0.3889,0.6111,18.0,0.9669,0.2769,0.0207,0.1218,10.0,3.96
73,0,5.0,0.5683,0.3982,0.9909,0.5556,0.3889,18.0,0.2171,0.709,0.0932,0.1858,10.0,4.36
74,0,4.0,0.2438,0.7334,0.9981,0.2778,0.7222,18.0,0.7311,0.8346,0.1506,0.0592,10.0,4.18
75,0,5.0,0.4635,0.4695,0.9732,0.3889,0.5556,18.0,0.1717,0.884,0.79,0.0413,10.0,4.61
76,0,2.0,0.6716,0.3022,0.9806,0.7222,0.2778,18.0,0.2432,0.8727,0.0197,0.026,10.0,2.8
77,0,3.0,0.6474,0.2599,0.9322,0.7222,0.2222,18.0,0.4617,0.4047,0.0358,0.0103,10.0,3.3
78,0,4.0,0.6725,0.2484,0.8809,0.6667,0.2778,18.0,0.9857,0.0957,0.0098,0.0021,10.0,3.39
79,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8625,0.7635,0.0074,0.018,1.0,4.1
0,1,5.0,0.8079,0.0749,0.3003,0.8571,0.0,14.0,0.4201,0.5192,0.0085,0.0147,8.0,4.6
1,1,5.0,0.3846,0.6045,0.9935,0.3889,0.6111,18.0,0.9553,0.9391,0.0103,0.0031,10.0,3.72
2,1,4.0,0.9387,0.0289,0.4112,1.0,0.0,18.0,0.0621,0.1815,0.0138,0.0362,10.0,3.47
3,1,5.0,0.5239,0.4612,0.9903,0.5556,0.4444,18.0,0.8707,0.9373,0.1004,0.0246,10.0,4.43
4,1,5.0,0.4349,0.5319,0.9378,0.3889,0.6111,18.0,0.6926,0.6665,0.2754,0.2568,10.0,4.54
5,1,4.0,0.3519,0.605,0.9989,0.3333,0.6111,18.0,0.8359,0.8704,0.1346,0.0969,10.0,3.96
6,1,4.0,0.7353,0.2121,0.9219,0.7778,0.2222,18.0,0.4009,0.4009,0.0024,0.0024,10.0,3.81
7,1,4.0,0.4003,0.5842,0.9989,0.4444,0.5556,18.0,0.1112,0.163,0.0809,0.0588,10.0,3.7
8,1,2.0,0.5986,0.3725,0.9944,0.6111,0.3333,18.0,0.0634,0.4232,0.0049,0.0128,10.0,1.94
9,1,4.0,0.0141,0.9851,0.9991,0.0,1.0,18.0,0.639,0.3827,0.2913,0.5824,10.0,3.57
10,1,4.0,0.5358,0.4335,0.9866,0.5,0.5,18.0,0.1537,0.1537,0.266,0.266,10.0,3.7
11,1,4.0,0.3151,0.6813,0.999,0.3333,0.6667,18.0,0.375,0.375,0.0172,0.0172,10.0,4.12
12,1,5.0,0.4314,0.5341,0.9964,0.4444,0.5556,18.0,0.6392,0.8553,0.0756,0.0206,10.0,4.62
13,1,2.0,0.446,0.5273,0.9748,0.5,0.5,6.0,0.9117,0.3189,0.0179,0.2465,4.0,2.85
14,1,5.0,0.3959,0.5803,0.9985,0.3333,0.5556,18.0,0.4225,0.8315,0.5394,0.1075,10.0,4.6
15,1,2.0,0.4662,0.4463,0.9983,0.5,0.3889,18.0,0.0961,0.2868,0.0124,0.0017,10.0,3.66
16,1,4.0,0.5675,0.3728,0.9987,0.6111,0.3333,18.0,0.4726,0.841,0.4844,0.0316,10.0,4.0
17,1,4.0,0.3612,0.5576,0.9992,0.3889,0.5,18.0,0.1199,0.0758,0.0782,0.1633,10.0,3.59
18,1,3.0,0.3821,0.5404,0.8444,0.2222,0.6111,18.0,0.4003,0.3709,0.2757,0.1691,10.0,3.94
19,1,5.0,0.2007,0.7942,0.9988,0.1667,0.8333,18.0,0.9309,0.8708,0.0568,0.0915,10.0,4.41
20,1,5.0,0.3294,0.6051,0.9975,0.3333,0.6111,18.0,0.5184,0.581,0.3062,0.2415,10.0,4.65
21,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149,0.0149,0.0005,0.0005,1.0,3.84
22,1,4.0,0.2483,0.7434,0.9979,0.2778,0.7222,18.0,0.6985,0.7538,0.2484,0.1657,10.0,4.16
23,1,3.0,0.6715,0.28,0.9367,0.6667,0.2778,18.0,0.2652,0.2652,0.17,0.17,10.0,2.78
24,1,1.0,0.9838,0.0094,0.0583,1.0,0.0,10.0,0.6173,0.4221,0.0428,0.0046,6.0,2.33
25,1,4.0,0.8633,0.1299,0.2587,1.0,0.0,6.0,0.0394,0.0071,0.0102,0.0014,4.0,3.89
26,1,4.0,0.197,0.733,0.9991,0.1667,0.7778,18.0,0.9585,0.9376,0.0142,0.0185,10.0,3.93
27,1,2.0,0.6488,0.3207,0.9986,0.6667,0.3333,18.0,0.1557,0.6543,0.0044,0.0026,10.0,2.79
28,1,4.0,0.6406,0.3478,0.9988,0.6667,0.3333,18.0,0.1496,0.794,0.0083,0.0047,10.0,3.62
29,1,4.0,0.7481,0.1767,0.9416,0.7222,0.2222,18.0,0.9032,0.7113,0.0791,0.0284,10.0,3.68
30,1,3.0,0.6462,0.2451,0.9956,0.6667,0.2222,18.0,0.9156,0.8174,0.0455,0.0194,10.0,3.41
31,1,5.0,0.7554,0.1439,0.9693,0.8333,0.1111,18.0,0.3586,0.3647,0.0246,0.0152,10.0,4.33
32,1,4.0,0.1453,0.8517,0.9991,0.1667,0.8333,18.0,0.1441,0.8789,0.7272,0.009,10.0,3.7
33,1,5.0,0.5206,0.3699,0.9845,0.5,0.4444,18.0,0.7413,0.6681,0.0154,0.0909,10.0,4.65
34,1,4.0,0.2494,0.7404,0.9987,0.2222,0.7778,18.0,0.8892,0.8587,0.007,0.0303,10.0,4.04
35,1,2.0,0.384,0.5985,0.9989,0.3889,0.6111,18.0,0.8852,0.3013,0.0125,0.0158,10.0,3.86
36,1,4.0,0.0114,0.001,0.001,0.0,0.0,2.0,0.9233,0.9448,0.0206,0.0444,2.0,4.06
37,1,2.0,0.7085,0.1973,0.9523,0.7,0.2,10.0,0.104,0.0281,0.0212,0.0043,6.0,2.08
38,1,4.0,0.6048,0.3639,0.9715,0.5556,0.3889,18.0,0.6772,0.8338,0.2909,0.1316,10.0,3.85
39,1,3.0,0.5128,0.392,0.9481,0.5,0.3889,18.0,0.4978,0.4305,0.4606,0.0404,10.0,3.86
40,1,2.0,0.704,0.2632,0.96,0.7222,0.2778,18.0,0.6441,0.4704,0.1905,0.0156,10.0,2.65
41,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9315,0.8878,0.0256,0.0257,1.0,4.18
42,1,4.0,0.7591,0.1557,0.8527,0.7778,0.1667,18.0,0.7984,0.784,0.1438,0.0416,10.0,3.95
43,1,5.0,0.0122,0.001,0.001,0.0,0.0,2.0,0.9473,0.8954,0.0142,0.0203,2.0,4.27
44,1,4.0,0.8303,0.1396,0.2778,1.0,0.0,6.0,0.0259,0.007,0.0066,0.002,4.0,3.92
45,1,4.0,0.2628,0.7356,0.9988,0.2778,0.7222,18.0,0.9461,0.9225,0.0029,0.009,10.0,3.86
46,1,5.0,0.258,0.7326,0.9988,0.2778,0.7222,18.0,0.9443,0.9095,0.034,0.0278,10.0,4.42
47,1,4.0,0.8592,0.1235,0.9491,0.8889,0.1111,18.0,0.8741,0.9114,0.0383,0.0149,10.0,3.57
48,1,3.0,0.2123,0.7744,0.9989,0.2222,0.7778,18.0,0.5907,0.7972,0.0101,0.0097,10.0,3.14
49,1,4.0,0.4987,0.4093,0.9398,0.4444,0.5,18.0,0.5288,0.4517,0.3732,0.2355,10.0,3.58
50,1,4.0,0.3119,0.6487,0.973,0.2222,0.6667,18.0,0.153,0.0796,0.4121,0.6975,10.0,3.86
51,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7988,0.7066,0.1647,0.2626,1.0,4.08
52,1,2.0,0.1089,0.8896,0.9989,0.1111,0.8889,18.0,0.6072,0.491,0.3089,0.4362,10.0,2.87
53,1,5.0,0.293,0.7024,0.9986,0.2778,0.7222,18.0,0.3572,0.3572,0.0062,0.0062,10.0,4.33
54,1,5.0,0.8188,0.1037,0.9125,0.8333,0.1111,18.0,0.181,0.5203,0.0029,0.0049,10.0,4.3
55,1,5.0,0.5683,0.4068,0.9831,0.5556,0.4444,18.0,0.8151,0.9194,0.0105,0.013,10.0,4.54
56,1,5.0,0.4149,0.569,0.9934,0.4444,0.5556,18.0,0.6379,0.6379,0.0076,0.0076,10.0,4.33
57,1,2.0,0.5119,0.4341,0.8476,0.5556,0.3889,18.0,0.1068,0.1068,0.2293,0.2293,10.0,2.91
58,1,2.0,0.5511,0.4202,0.9989,0.5556,0.4444,18.0,0.2022,0.2022,0.6954,0.6954,10.0,2.65
59,1,5.0,0.7522,0.1045,0.7346,0.7222,0.0556,18.0,0.4686,0.3466,0.1396,0.0204,10.0,4.32
60,1,4.0,0.6396,0.3495,0.9991,0.6667,0.3333,18.0,0.7104,0.2504,0.059,0.0071,10.0,4.0
61,1,5.0,0.041,0.021,0.021,0.0,0.0,2.0,0.7429,0.7911,0.0425,0.0229,2.0,4.67
62,1,2.0,0.662,0.2883,0.9589,0.7222,0.2778,18.0,0.5434,0.1279,0.0761,0.8232,10.0,2.3
63,1,5.0,0.294,0.692,0.9955,0.2222,0.7778,18.0,0.9435,0.9176,0.0203,0.0495,10.0,4.55
64,1,5.0,0.521,0.4074,0.9711,0.5556,0.3889,18.0,0.0987,0.0978,0.0381,0.0199,10.0,4.46
65,1,4.0,0.4624,0.4232,0.9905,0.5,0.4444,18.0,0.8734,0.8998,0.0875,0.0735,10.0,4.6
66,1,4.0,0.6275,0.2242,0.6592,0.6111,0.2778,18.0,0.1348,0.513,0.0115,0.0063,10.0,3.98
67,1,2.0,0.3992,0.5758,0.9951,0.3889,0.6111,18.0,0.0716,0.4457,0.0058,0.0094,10.0,2.77
68,1,4.0,0.3522,0.6193,0.9981,0.3889,0.5556,18.0,0.4905,0.8707,0.2351,0.0241,10.0,4.03
69,1,5.0,0.638,0.3348,0.9938,0.6667,0.3333,18.0,0.3999,0.386,0.069,0.1105,10.0,4.52
70,1,5.0,0.266,0.7289,0.998,0.2778,0.7222,18.0,0.1178,0.0215,0.2753,0.0042,10.0,3.73
71,1,3.0,0.9648,0.028,0.1034,1.0,0.0,18.0,0.9407,0.6199,0.0362,0.0063,10.0,3.02
72,1,5.0,0.6886,0.2036,0.8414,0.625,0.25,16.0,0.332,0.8176,0.0262,0.1075,9.0,4.43
73,1,4.0,0.6598,0.3199,0.9889,0.6667,0.3333,18.0,0.8153,0.788,0.0072,0.0169,10.0,4.08
74,1,2.0,0.6875,0.1011,0.7962,0.6667,0.1111,18.0,0.6161,0.1412,0.022,0.0053,10.0,2.83
75,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8408,0.4898,0.0703,0.0425,1.0,4.05
0,2,5.0,0.4005,0.5963,0.9985,0.3889,0.6111,18.0,0.4974,0.086,0.4908,0.7485,10.0,4.21
1,2,4.0,0.4521,0.5273,0.9887,0.4444,0.5556,18.0,0.9538,0.1197,0.0132,0.0894,10.0,4.03
2,2,4.0,0.5643,0.3917,0.9844,0.5556,0.3333,18.0,0.5818,0.5818,0.0043,0.0043,10.0,3.87
3,2,5.0,0.5228,0.4754,0.9459,0.5,0.5,6.0,0.103,0.2356,0.0351,0.1138,4.0,4.35
4,2,5.0,0.2018,0.7648,0.9988,0.2222,0.7778,18.0,0.7375,0.8942,0.2347,0.0156,10.0,4.5
5,2,3.0,0.4628,0.52,0.9991,0.5,0.5,18.0,0.2816,0.2007,0.5169,0.7373,10.0,3.14
6,2,4.0,0.7372,0.2287,0.934,0.7778,0.2222,18.0,0.3493,0.3493,0.0047,0.0047,10.0,3.86
7,2,4.0,0.4466,0.5016,0.9982,0.4444,0.5,18.0,0.6019,0.9572,0.1521,0.0033,10.0,3.91
8,2,1.0,0.5986,0.3725,0.9944,0.6111,0.3333,18.0,0.0634,0.4232,0.0049,0.0128,10.0,1.94
9,2,3.0,0.7485,0.2207,0.9878,0.8333,0.1667,18.0,0.1456,0.3735,0.0195,0.0047,10.0,3.21
10,2,4.0,0.7608,0.2131,0.7892,0.7778,0.2222,18.0,0.8606,0.8554,0.0409,0.0173,10.0,3.96
11,2,3.0,0.4151,0.5626,0.9966,0.4444,0.5556,18.0,0.9067,0.8293,0.0301,0.0124,10.0,3.18
12,2,5.0,0.1936,0.761,0.999,0.1667,0.7778,18.0,0.3174,0.0379,0.6235,0.9542,10.0,3.6
13,2,4.0,0.0157,0.008,0.008,0.0,0.0,2.0,0.5127,0.5663,0.0473,0.0135,2.0,4.32
14,2,5.0,0.4451,0.5247,0.998,0.4444,0.5,18.0,0.7833,0.5579,0.1692,0.3719,10.0,4.48
15,2,3.0,0.5468,0.4141,0.9876,0.4444,0.5,18.0,0.29,0.2035,0.1881,0.3534,10.0,3.25
16,2,4.0,0.7141,0.2431,0.9768,0.7778,0.2222,18.0,0.7801,0.7935,0.0473,0.0211,10.0,3.85
17,2,4.0,0.4167,0.5251,0.9991,0.4444,0.5,18.0,0.5421,0.5421,0.4467,0.4467,10.0,3.91
18,2,3.0,0.7112,0.226,0.9361,0.8333,0.1667,18.0,0.0868,0.0868,0.1103,0.1103,10.0,3.18
19,2,5.0,0.6309,0.3286,0.9706,0.6667,0.2778,18.0,0.8682,0.8271,0.1032,0.0884,10.0,4.44
20,2,4.0,0.5785,0.3719,0.9952,0.6111,0.3889,18.0,0.0688,0.5144,0.0083,0.0018,10.0,3.46
21,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149,0.0149,0.0005,0.0005,1.0,3.84
22,2,4.0,0.3033,0.6574,0.9976,0.2778,0.6667,18.0,0.3404,0.807,0.6045,0.1464,10.0,4.49
23,2,2.0,0.6715,0.28,0.9367,0.6667,0.2778,18.0,0.2652,0.2652,0.17,0.17,10.0,2.78
24,2,2.0,0.6137,0.2544,0.9968,0.6667,0.2222,18.0,0.0601,0.0601,0.0107,0.0107,10.0,2.45
25,2,3.0,0.9658,0.0301,0.056,1.0,0.0,6.0,0.0117,0.0085,0.0034,0.0013,4.0,2.96
26,2,5.0,0.4834,0.4204,0.9961,0.4444,0.4444,18.0,0.7748,0.2249,0.1177,0.0796,10.0,4.21
27,2,2.0,0.7143,0.2771,0.997,0.7222,0.2778,18.0,0.4374,0.7954,0.0034,0.0026,10.0,2.7
28,2,4.0,0.5025,0.4212,0.9912,0.6111,0.3333,18.0,0.3087,0.5887,0.4461,0.2765,10.0,3.98
29,2,5.0,0.6815,0.2965,0.8224,0.7222,0.2222,18.0,0.9125,0.8254,0.0665,0.0968,10.0,4.48
30,2,4.0,0.6814,0.2725,0.9646,0.6111,0.2222,18.0,0.9325,0.903,0.0619,0.0753,10.0,3.79
31,2,4.0,0.6853,0.2296,0.7253,0.7778,0.2222,18.0,0.4934,0.2788,0.0199,0.0488,10.0,3.63
32,2,4.0,0.0191,0.9803,0.9992,0.0,1.0,18.0,0.0251,0.0366,0.9663,0.9437,10.0,3.51
33,2,5.0,0.5206,0.3699,0.9845,0.5,0.4444,18.0,0.7413,0.6681,0.0154,0.0909,10.0,4.65
34,2,4.0,0.6624,0.2951,0.9834,0.6667,0.3333,18.0,0.4608,0.0821,0.0313,0.0082,10.0,3.93
35,2,2.0,0.184,0.809,0.997,0.1667,0.8333,18.0,0.1737,0.0601,0.1377,0.9171,10.0,2.87
36,2,4.0,0.0073,0.0006,0.0006,0.0,0.0,2.0,0.8555,0.6638,0.0847,0.1676,2.0,4.04
37,2,1.0,0.6788,0.1992,0.9614,0.7,0.2,10.0,0.0773,0.0149,0.0152,0.002,6.0,1.77
38,2,4.0,0.4929,0.4966,0.9935,0.5556,0.4444,18.0,0.4938,0.9439,0.4118,0.0261,10.0,4.1
39,2,3.0,0.6368,0.3157,0.9317,0.6667,0.3333,18.0,0.7926,0.8735,0.1548,0.0682,10.0,3.22
40,2,2.0,0.3378,0.6197,0.9983,0.3333,0.6667,18.0,0.8451,0.9166,0.0298,0.025,10.0,2.75
41,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865,0.486,0.0198,0.0076,1.0,3.81
42,2,4.0,0.5738,0.3802,0.9819,0.5,0.4444,18.0,0.9609,0.0792,0.0061,0.0061,10.0,3.9
43,2,5.0,0.0133,0.0014,0.0014,0.0,0.0,2.0,0.9322,0.8394,0.0267,0.0358,2.0,4.59
44,2,4.0,0.8397,0.1378,0.2737,1.0,0.0,6.0,0.0514,0.0075,0.0148,0.0027,4.0,3.86
45,2,4.0,0.2384,0.7507,0.9991,0.2222,0.7778,18.0,0.0,0.0,0.0,0.0,10.0,3.69
46,2,5.0,0.6617,0.3146,0.994,0.6667,0.3333,18.0,0.8413,0.543,0.0338,0.0153,10.0,4.36
47,2,4.0,0.6819,0.2012,0.843,0.6667,0.2778,18.0,0.093,0.678,0.8978,0.0228,10.0,4.04
48,2,2.0,0.2123,0.7744,0.9989,0.2222,0.7778,18.0,0.8512,0.8525,0.0207,0.025,10.0,2.93
49,2,3.0,0.0892,0.7853,0.9772,0.0,0.875,8.0,0.1811,0.2272,0.6179,0.6141,5.0,3.25
50,2,5.0,0.2361,0.7602,0.9925,0.2222,0.7778,18.0,0.0747,0.8526,0.9103,0.1419,10.0,4.57
51,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7259,0.3976,0.0615,0.0325,1.0,4.19
52,2,1.0,0.3495,0.5774,0.9974,0.3333,0.5556,18.0,0.8006,0.9105,0.0278,0.0371,10.0,2.65
53,2,5.0,0.2918,0.7024,0.9986,0.2778,0.7222,18.0,0.3079,0.8995,0.0745,0.0672,10.0,4.9
54,2,4.0,0.8222,0.0695,0.6305,0.8333,0.0556,18.0,0.2095,0.7749,0.0025,0.002,10.0,3.93
55,2,5.0,0.5564,0.3448,0.9802,0.5556,0.3889,18.0,0.8972,0.8919,0.0095,0.0063,10.0,4.49
56,2,4.0,0.2246,0.767,0.9989,0.2222,0.7778,18.0,0.3045,0.6579,0.6061,0.2085,10.0,3.93
57,2,4.0,0.6696,0.2965,0.9976,0.6667,0.3333,18.0,0.2988,0.2988,0.0056,0.0056,10.0,3.73
58,2,3.0,0.5516,0.4243,0.9986,0.5556,0.4444,18.0,0.2252,0.2252,0.1128,0.1128,10.0,3.9
59,2,4.0,0.8118,0.0485,0.1296,0.8889,0.0,18.0,0.0403,0.6986,0.0378,0.0107,10.0,3.95
60,2,2.0,0.655,0.3099,0.9941,0.6667,0.3333,18.0,0.7534,0.7354,0.0309,0.0389,10.0,2.97
61,2,5.0,0.4882,0.4565,0.9944,0.5556,0.4444,18.0,0.7798,0.4063,0.0194,0.0439,10.0,4.6
62,2,4.0,0.8613,0.1098,0.4374,1.0,0.0,18.0,0.8735,0.7276,0.0058,0.0089,10.0,4.13
63,2,5.0,0.0836,0.9145,0.9928,0.0,1.0,18.0,0.5517,0.4,0.0616,0.5279,10.0,4.36
