user_id,file_id,rating,avg_tree_depth,max_tree_depth,std_tree_depth,avg_dep_distance,root_children_mean,n_sentences,n_tokens,pred_rating
27,1,1,5.556,9.0,2.006,2.865,6.333,9,183,1.01
28,1,1,5.0,6.0,0.816,3.154,6.0,6,144,1.42
29,1,1,5.833,10.0,3.976,2.304,3.833,6,148,1.62
30,1,1,5.0,5.0,0.0,3.168,7.0,4,86,1.03
31,1,4,4.722,7.0,1.283,3.008,5.111,36,640,3.52
32,1,4,6.5,12.0,2.63,3.012,4.667,12,292,2.53
33,1,4,5.39,15.0,2.97,2.81,5.073,41,1074,4.47
34,1,2,5.833,7.0,1.067,2.907,6.0,12,320,2.42
35,1,5,6.286,8.0,1.097,3.324,4.643,14,386,4.01
36,1,1,4.857,7.0,1.457,3.227,6.429,7,152,1.26
37,1,4,6.857,9.0,2.474,2.468,3.143,7,138,3.38
38,1,3,5.444,8.0,2.217,3.017,4.889,9,194,3.01
39,1,3,5.333,8.0,1.374,3.155,5.167,12,232,2.96
40,1,4,6.5,12.0,4.272,2.512,3.125,8,174,3.24
41,1,1,5.471,9.0,2.09,3.079,5.765,17,356,1.56
42,1,1,3.5,6.0,1.5,3.078,5.5,6,128,1.73
43,1,4,5.429,7.0,2.259,2.762,4.0,7,174,3.49
44,1,4,6.312,10.0,2.615,2.948,4.312,16,383,3.68
45,1,1,4.667,6.0,0.943,2.997,4.667,6,146,1.56
46,1,3,4.8,7.0,2.04,2.829,4.6,10,164,3.03
47,1,1,5.5,6.0,0.5,3.031,7.5,4,84,1.01
48,1,1,7.0,10.0,2.53,3.324,3.4,5,114,1.31
49,1,1,3.889,8.0,2.514,2.159,3.889,9,150,1.76
50,1,3,4.107,8.0,1.78,3.114,4.464,28,456,2.82
51,1,5,4.0,4.0,0.0,1.833,4.0,1,12,3.83
52,1,2,4.429,6.0,1.917,2.674,4.286,7,134,2.1
53,1,1,4.5,5.0,0.5,3.271,5.5,4,78,1.86
54,1,3,4.0,5.0,0.816,3.015,6.667,6,110,2.25
55,1,5,4.292,9.0,2.208,2.621,3.729,48,874,4.32
56,1,5,5.2,6.0,1.166,3.083,4.0,5,118,3.44
57,1,1,4.0,4.0,0.0,3.16,9.5,4,104,1.17
58,1,1,5.778,8.0,2.299,2.801,5.222,9,198,2.13
59,1,5,6.667,10.0,2.0,3.4,4.278,18,522,4.17
60,1,1,5.375,7.0,1.218,2.809,6.5,8,151,1.16
61,1,4,5.692,10.0,3.073,2.561,4.154,26,556,3.97
62,1,1,6.429,9.0,2.499,2.579,4.286,7,130,1.73
63,1,4,4.682,8.0,1.986,2.915,5.182,44,880,3.61
64,1,4,6.364,9.0,1.72,2.748,5.455,11,250,3.86
65,1,4,6.286,8.0,1.161,3.561,4.857,7,188,2.64
66,1,4,7.0,9.0,2.777,3.23,3.714,7,158,3.18
67,1,4,6.143,10.0,3.09,2.321,3.143,7,114,3.29
68,1,1,5.5,8.0,2.5,2.558,5.0,4,74,1.16
69,1,2,7.429,10.0,3.245,2.172,3.571,7,146,2.03
70,1,3,6.906,11.0,2.614,2.931,5.281,32,807,3.38
71,1,5,6.8,11.0,1.897,3.178,5.52,25,672,3.8
72,1,1,4.0,4.0,0.0,2.534,4.5,4,62,1.75
73,1,2,5.6,11.0,2.177,3.163,4.25,40,883,2.77
74,1,3,6.455,10.0,1.802,2.845,4.273,22,453,3.31
75,1,1,8.0,8.0,0.0,2.601,4.0,2,46,1.68
0,2,4,6.0,8.0,1.852,2.616,3.429,14,218,3.5
1,2,5,5.84,11.0,2.664,2.706,3.96,25,497,4.3
2,2,1,6.333,7.0,0.471,3.479,6.5,6,188,1.93
3,2,5,5.382,12.0,2.921,2.774,5.162,68,1595,4.78
4,2,1,4.467,7.0,1.147,3.116,5.467,15,340,1.77
5,2,1,4.5,6.0,1.5,2.973,6.0,4,70,1.07
6,2,2,6.286,8.0,1.485,3.437,4.857,7,220,2.64
7,2,1,6.5,7.0,0.5,3.177,5.5,4,112,1.53
8,2,2,3.459,8.0,2.035,2.447,5.054,37,473,2.65
9,2,1,6.0,6.0,0.0,3.223,8.0,2,64,1.05
10,2,3,6.714,9.0,2.185,2.928,4.857,7,176,2.93
11,2,3,5.75,7.0,0.829,2.955,6.0,8,194,2.28
12,2,4,4.583,8.0,2.722,1.98,3.5,12,196,3.42
13,2,1,2.0,2.0,0.0,2.917,7.0,2,24,1.17
14,2,2,7.75,10.0,1.92,3.142,4.25,8,194,2.4
15,2,5,5.222,7.0,1.315,3.162,6.889,9,228,3.55
16,2,1,5.4,8.0,1.96,3.014,4.6,10,196,2.97
17,2,1,3.0,3.0,0.0,4.286,8.0,1,28,1.46
18,2,3,6.9,12.0,2.625,2.965,5.9,10,237,2.97
19,2,1,4.0,5.0,1.0,3.021,8.0,4,90,1.02
20,2,1,4.667,6.0,1.247,2.913,4.0,6,94,1.7
21,2,4,6.0,6.0,0.0,2.4,3.0,1,20,3.91
22,2,3,5.0,6.0,0.707,3.165,5.5,8,154,2.37
23,2,4,6.333,10.0,2.211,3.525,5.778,9,234,4.0
24,2,3,6.7,8.0,1.345,3.364,4.8,20,562,3.29
25,2,2,6.786,12.0,2.883,2.808,4.929,14,327,2.61
26,2,4,5.418,9.0,2.051,2.917,4.709,55,1291,4.1
27,2,1,5.556,9.0,2.006,2.865,6.333,9,183,1.01
28,2,4,7.0,10.0,2.828,2.882,5.0,10,212,3.55
29,2,1,4.5,5.0,0.5,3.25,5.5,4,82,1.31
30,2,4,6.5,7.0,0.5,2.923,4.333,12,290,3.29
31,2,1,5.5,9.0,1.688,3.06,5.7,20,526,1.69
32,2,1,6.0,6.0,0.0,2.968,8.0,2,62,1.05
33,2,5,5.39,15.0,2.97,2.81,5.073,41,1074,4.47
34,2,5,4.667,7.0,1.633,2.704,5.778,18,380,3.47
35,2,1,4.5,6.0,1.5,3.056,8.0,4,92,1.0
36,2,1,5.8,8.0,1.833,3.227,4.8,5,148,1.66
37,2,1,7.0,7.0,0.0,3.508,8.0,2,68,1.13
38,2,1,5.5,6.0,0.5,3.361,6.5,4,88,1.05
39,2,3,6.5,7.0,0.5,3.408,4.25,4,110,2.4
40,2,2,5.333,6.0,0.471,3.599,5.0,6,114,2.03
41,2,1,3.429,5.0,1.761,2.236,4.286,14,222,1.84
42,2,1,4.8,7.0,2.482,2.848,4.6,10,184,3.35
43,2,1,4.5,5.0,0.5,3.183,5.5,4,74,1.32
44,2,3,6.455,8.0,1.827,2.875,4.455,11,282,3.1
45,2,1,6.333,8.0,1.7,2.77,5.333,6,162,1.94
46,2,1,8.0,12.0,2.828,3.276,6.667,3,86,1.43
47,2,1,4.0,6.0,2.0,2.948,9.0,4,78,1.01
48,2,1,7.0,10.0,2.53,3.403,3.4,5,116,1.33
49,2,1,4.5,6.0,1.5,2.631,8.0,4,76,1.23
50,2,5,4.512,9.0,2.073,2.973,4.953,43,826,4.08
51,2,5,10.0,10.0,0.0,1.727,2.0,1,22,4.28
52,2,1,8.4,10.0,1.855,3.483,4.4,5,172,1.9
53,2,5,4.5,5.0,0.5,3.271,5.5,4,78,1.86
54,2,1,4.667,6.0,0.943,2.984,5.667,6,92,1.36
55,2,5,4.045,7.0,2.325,2.395,5.068,44,849,4.33
56,2,2,5.409,9.0,2.167,3.072,5.136,22,482,2.78
57,2,1,7.0,7.0,0.0,2.942,8.0,2,70,1.04
58,2,3,6.5,8.0,1.118,3.088,5.75,8,196,1.17
59,2,5,5.333,12.0,3.621,2.768,4.444,18,434,4.42
60,2,4,4.841,8.0,2.011,2.563,3.864,44,717,3.87
61,2,5,5.966,13.0,2.965,2.734,4.414,29,559,4.55
62,2,1,4.286,7.0,2.763,2.345,3.286,7,140,1.8
63,2,5,5.444,8.0,2.499,3.401,5.889,9,316,4.27
64,2,4,5.2,9.0,3.059,2.382,4.2,10,184,3.71
65,2,3,5.0,8.0,2.708,2.941,5.167,12,226,2.85
66,2,3,7.0,12.0,3.742,2.908,3.333,6,140,2.45
67,2,5,4.0,9.0,3.033,2.655,3.6,10,180,4.0
68,2,4,5.357,10.0,1.913,2.95,4.0,28,556,3.78
69,2,1,5.364,9.0,2.186,2.989,5.273,11,233,2.1
70,2,4,4.768,8.0,1.899,2.83,4.607,56,1093,3.99
71,2,4,6.419,12.0,2.46,3.217,5.403,62,1519,4.05
72,2,1,2.0,2.0,0.0,2.083,4.0,2,14,1.33
73,2,1,4.551,8.0,1.819,2.752,5.224,49,899,2.45
74,2,1,7.5,9.0,1.5,3.218,8.0,4,108,1.26
75,2,4,5.0,5.0,0.0,2.312,3.0,1,16,4.01
0,3,3,6.429,8.0,1.591,3.258,4.571,14,376,3.23
1,3,4,6.88,12.0,2.944,3.074,4.48,25,740,3.62
2,3,1,5.0,6.0,0.816,3.286,6.0,6,132,1.34
3,3,5,5.529,8.0,1.242,2.836,4.882,17,434,3.97
4,3,1,5.5,6.0,0.5,3.35,7.5,4,106,1.22
5,3,1,3.5,4.0,0.5,2.981,7.5,4,72,1.08
6,3,2,5.143,8.0,2.587,2.927,3.714,7,112,1.99
7,3,2,6.167,13.0,3.337,3.058,4.167,12,280,2.16
8,3,1,5.0,7.0,1.528,3.021,4.667,24,498,1.88
9,3,4,10.25,51.0,15.53,2.766,5.375,16,506,3.63
10,3,1,4.429,6.0,1.4,2.646,5.571,7,108,2.04
11,3,4,5.75,7.0,0.829,2.955,6.0,8,194,2.28
12,3,4,6.133,10.0,2.377,2.615,4.1,30,625,3.99
13,3,1,3.0,3.0,0.0,1.9,4.0,1,10,1.8
14,3,2,6.2,8.0,1.536,3.218,6.6,10,298,2.78
15,3,5,4.8,6.0,1.47,3.083,5.0,10,186,3.74
16,3,1,5.143,8.0,1.355,3.043,4.0,7,148,2.72
17,3,4,5.0,5.0,0.0,2.864,5.0,2,30,2.62
18,3,4,6.071,8.0,2.404,2.756,5.429,14,349,3.09
19,3,1,3.5,4.0,0.5,3.097,9.0,4,96,1.14
20,3,2,3.462,5.0,1.082,2.675,4.538,13,202,2.1
21,3,4,6.0,6.0,0.0,2.4,3.0,1,20,3.91
22,3,3,6.643,9.0,1.342,3.66,6.25,28,1306,3.08
23,3,4,6.333,10.0,2.211,3.525,5.778,9,234,4.0
24,3,1,7.5,10.0,2.5,2.358,3.5,4,98,1.3
25,3,5,3.778,11.0,1.977,2.435,4.273,99,1368,4.49
26,3,4,4.484,9.0,1.932,2.65,3.839,31,500,3.83
27,3,1,5.556,9.0,2.006,2.865,6.333,9,183,1.01
28,3,2,5.882,10.0,1.811,2.94,5.147,34,736,2.83
29,3,1,4.0,5.0,0.816,3.092,6.0,6,112,1.45
30,3,4,6.222,10.0,2.91,2.929,4.778,27,834,3.89
31,3,2,7.2,13.0,3.059,3.277,4.2,10,282,2.41
32,3,4,5.625,8.0,2.027,2.771,4.062,16,280,3.54
33,3,5,5.112,11.0,1.823,2.784,4.788,80,1604,4.08
34,3,2,8.0,10.0,1.633,2.948,3.667,6,146,2.12
35,3,1,4.0,6.0,1.155,3.018,7.556,9,161,1.3
36,3,2,7.8,10.0,1.939,2.819,4.2,5,130,1.96
37,3,1,4.5,6.0,1.5,3.004,8.0,4,98,1.03
38,3,3,5.5,6.0,0.5,3.223,5.75,8,202,2.18
39,3,1,5.636,10.0,1.967,3.346,6.727,22,576,2.06
40,3,1,4.163,10.0,2.113,2.963,4.224,49,876,2.63
41,3,1,6.0,7.0,1.0,2.686,7.5,4,84,1.24
42,3,1,5.8,15.0,3.857,2.561,3.76,25,490,2.65
43,3,2,5.545,7.0,1.157,2.913,5.727,22,478,2.15
44,3,2,5.6,9.0,3.774,2.263,3.8,5,105,1.85
45,3,2,5.5,9.0,3.253,2.294,4.5,6,140,1.88
46,3,5,5.5,9.0,1.565,3.105,4.35,20,426,4.11
47,3,1,5.0,7.0,2.0,3.053,8.0,4,78,1.01
48,3,2,8.5,9.0,0.5,3.172,5.5,4,132,1.83
49,3,1,5.091,7.0,1.24,2.92,4.636,22,382,2.11
50,3,1,3.5,5.0,1.5,2.921,7.0,4,72,1.15
51,3,4,5.0,5.0,0.0,2.045,4.0,1,22,3.77
52,3,4,5.714,9.0,2.814,2.445,4.0,7,154,2.4
53,3,1,4.5,5.0,0.5,3.271,5.5,4,78,1.86
54,3,3,4.333,7.0,1.886,2.745,7.0,6,100,2.13
55,3,4,5.18,11.0,1.76,2.52,4.213,61,1175,3.95
56,3,1,4.75,6.0,1.199,3.081,6.75,8,166,1.26
57,3,1,6.0,6.0,0.0,2.905,8.0,2,64,1.06
58,3,1,6.5,8.0,1.118,3.088,5.75,8,196,1.17
59,3,2,5.917,10.0,2.532,2.902,4.167,12,284,2.61
60,3,2,4.6,7.0,1.549,3.318,4.44,25,498,2.39
61,3,5,5.036,9.0,1.918,2.696,3.857,28,451,4.23
62,3,1,3.625,5.0,1.867,2.277,3.625,8,108,1.5
63,3,5,4.48,10.0,1.921,2.437,4.44,50,749,4.26
64,3,4,5.167,8.0,2.544,2.606,5.0,12,246,3.02
65,3,1,4.0,4.0,0.0,3.328,8.0,2,56,1.03
66,3,4,6.5,10.0,2.598,3.066,6.0,8,182,2.98
67,3,4,6.167,9.0,2.339,3.079,5.667,12,286,3.41
68,3,3,5.846,11.0,3.301,2.81,4.769,13,273,2.99
69,3,2,4.824,9.0,3.014,2.638,3.941,17,320,2.56
70,3,1,3.714,4.0,0.452,3.315,7.857,7,153,1.47
71,3,4,5.238,9.0,2.328,2.78,4.381,42,852,4.03
72,3,4,4.75,7.0,1.785,2.691,4.25,8,148,3.25
73,3,1,4.87,11.0,2.968,2.421,4.304,23,419,2.29
74,3,1,4.875,6.0,0.599,3.055,8.0,8,204,1.6
75,3,4,3.875,5.0,1.965,1.984,2.875,8,94,3.05
0,4,2,7.5,8.0,0.5,3.121,4.5,4,132,2.15
1,4,4,5.913,9.0,2.283,2.979,4.652,23,604,3.7
2,4,1,6.375,11.0,2.176,2.994,5.75,16,452,1.85
3,4,5,5.714,12.0,2.312,2.928,4.524,21,484,3.59
4,4,1,5.0,7.0,1.414,3.329,6.0,6,128,1.23
5,4,1,4.5,5.0,0.5,3.356,7.5,4,94,1.01
6,4,3,6.333,10.0,2.357,2.907,4.667,9,184,3.04
7,4,2,6.571,10.0,2.06,2.973,6.0,14,352,2.22
8,4,3,5.543,8.0,1.728,2.991,5.609,46,942,3.57
9,4,4,6.0,9.0,1.732,2.806,5.0,8,168,3.32
10,4,5,3.9,6.0,1.3,2.532,4.9,10,149,3.46
11,4,1,6.5,8.0,1.118,2.879,4.0,8,180,2.04
12,4,4,4.579,8.0,2.085,2.412,4.737,19,426,2.78
13,4,1,5.0,6.0,1.0,3.123,6.0,4,90,1.05
14,4,1,3.333,5.0,1.374,2.984,7.333,6,123,1.71
15,4,5,4.857,7.0,1.245,2.952,4.429,7,130,3.73
16,4,1,4.5,5.0,0.5,2.977,7.0,4,80,1.05
17,4,4,3.333,5.0,1.247,3.064,4.0,6,112,1.67
18,4,3,6.071,8.0,2.404,2.756,5.429,14,349,3.09
19,4,1,3.333,4.0,0.471,2.894,7.333,6,114,1.54
20,4,2,6.0,9.0,2.558,2.51,3.364,11,176,2.88
21,4,4,6.0,6.0,0.0,2.4,3.0,1,20,3.91
22,4,2,4.929,7.0,1.334,3.136,5.857,28,630,2.43
23,4,4,6.333,10.0,2.211,3.525,5.778,9,234,4.0
24,4,4,4.643,8.0,1.757,2.778,5.643,28,536,3.23
25,4,4,6.706,11.0,1.993,2.965,5.412,17,472,3.55
26,4,1,4.125,5.0,0.781,3.033,4.75,8,136,1.56
27,4,1,5.556,9.0,2.006,2.865,6.333,9,183,1.01
28,4,4,5.571,9.0,1.741,3.084,5.071,28,641,3.62
29,4,2,5.04,13.0,2.821,3.028,4.84,25,538,2.65
30,4,4,5.216,10.0,2.42,2.717,4.784,51,1078,4.14
31,4,1,5.0,6.0,1.095,3.382,5.2,5,100,1.33
32,4,1,5.333,7.0,1.247,2.871,6.333,6,112,1.21
33,4,5,6.054,12.0,3.179,2.71,4.838,37,837,4.61
34,4,2,5.25,7.0,1.09,3.036,4.25,8,166,2.5
35,4,1,4.2,7.0,1.72,2.886,6.0,10,160,1.31
36,4,1,4.5,5.0,0.5,3.552,6.5,4,88,1.15
37,4,5,3.667,5.0,0.943,3.023,7.667,6,106,2.75
38,4,5,5.0,7.0,2.121,3.038,5.25,8,148,1.86
39,4,1,4.333,6.0,1.7,2.464,5.333,6,92,1.43
40,4,5,6.957,16.0,3.747,2.892,4.565,23,524,4.09
41,4,5,7.5,11.0,2.55,2.873,4.875,16,380,3.9
42,4,4,5.909,10.0,3.45,2.543,4.727,11,222,3.63
43,4,2,5.375,14.0,3.426,2.823,4.375,8,154,2.45
44,4,4,6.091,10.0,3.232,2.699,3.818,11,290,3.63
45,4,2,5.333,6.0,0.471,3.213,5.667,6,144,1.92
46,4,2,4.857,8.0,2.1,2.486,3.286,7,94,2.18
47,4,1,4.5,7.0,2.5,2.922,7.5,4,76,1.16
48,4,5,6.0,8.0,2.563,2.844,4.286,7,166,3.84
49,4,2,6.429,9.0,1.761,3.849,5.857,7,206,2.21
50,4,1,4.667,5.0,0.471,3.121,6.0,6,108,1.25
51,4,4,4.0,4.0,0.0,1.833,4.0,1,12,3.83
52,4,1,5.333,10.0,3.197,2.191,3.533,15,266,2.15
53,4,1,4.667,5.0,0.471,3.521,5.0,3,76,1.32
54,4,3,5.0,5.0,0.0,3.167,5.5,4,78,1.57
55,4,5,3.89,9.0,2.248,2.403,3.661,109,1397,4.67
56,4,2,4.556,7.0,1.663,2.884,5.333,27,534,2.38
57,4,1,4.0,5.0,1.0,3.014,7.5,4,70,1.02
58,4,1,6.5,8.0,1.118,3.088,5.75,8,196,1.17
59,4,2,6.9,16.0,5.338,2.624,4.2,10,227,3.14
60,4,1,4.533,9.0,1.857,2.813,4.933,15,284,1.83
61,4,5,5.091,11.0,2.859,2.894,4.364,22,504,4.21
62,4,1,5.4,9.0,3.2,2.794,3.8,5,90,1.39
63,4,5,5.095,11.0,2.338,2.776,4.214,84,1602,4.27
64,4,4,8.2,11.0,2.482,3.149,6.3,10,308,2.95
65,4,3,6.0,7.0,1.414,2.901,5.333,6,112,2.28
66,4,4,6.0,9.0,1.673,2.911,5.4,10,236,3.61
67,4,4,7.333,8.0,0.943,3.332,6.0,6,180,3.03
68,4,1,5.2,7.0,1.47,3.145,6.4,5,113,1.11
69,4,4,5.818,9.0,1.527,2.764,4.636,22,462,3.7
70,4,3,5.571,8.0,1.178,2.749,4.643,14,307,3.28
71,4,4,4.93,12.0,2.533,2.832,5.0,57,1138,4.06
72,4,2,4.0,6.0,1.414,2.38,3.714,7,97,2.11
73,4,2,5.16,9.0,2.292,2.659,5.08,25,540,2.78
74,4,1,7.0,12.0,3.559,3.103,4.833,12,317,1.98
75,4,4,5.6,9.0,3.262,2.486,4.2,10,184,3.82
